Lista de Productos,Precios,Descuento,Marca,Supermercado,Image URL,Lista de Productos Normalizados
kekitos sabor naranja pyc 90 g,S/  3.50,,Por Tottus,Tottus,,[CLS] ke ##kit ##os sabor nar ##anja p ##y ##c 90 g [SEP]
gelatina de piña de 160 g,S/  3.95,,TOTTUS,Tottus,,[CLS] gela ##tina de pi ##ña de 160 g [SEP]
ajónjoli,S/  4.95,,Sazonador de Guacamole 30 g,Tottus,,[CLS] aj ##ón ##jo ##li [SEP]
pudín sabor a chocolate,S/  3.90,,Por Tottus,Tottus,,[CLS] pu ##dí ##n sabor a chocolate [SEP]
fideo molitalia linguine 450 g,S/  4,,TOTTUS,Tottus,,[CLS] fi ##deo mol ##ital ##ia li ##ngu ##ine 450 g [SEP]
fideo don vittorio caracol chico 250 g,S/  2.45,,Sopa de Fideos con Carne Tottus de 60 g,Tottus,,[CLS] fi ##deo don vit ##torio cara ##col chi ##co 250 g [SEP]
pasta precocida nissin cup noodles pollo 69g,S/  4.90,9%,Por Tottus,Tottus,,[CLS] pasta pre ##co ##cida ni ##ssin cup no ##od ##les poll ##o 69 ##g [SEP]
frijol caballero 500 g,S/  9,,COSTENO,Tottus,,[CLS] fri ##jo ##l ca ##ball ##ero 500 g [SEP]
aceituna verde rellena con rocoto,S/  7.40,,Frijol Caballero 500 g,Tottus,,[CLS] ac ##eit ##una verde re ##llen ##a con ro ##cot ##o [SEP]
frijol con tocino tottus 425 gr,S/  6.50,,Por Tottus,Tottus,,[CLS] fri ##jo ##l con to ##cino tot ##tus 425 gr [SEP]
sopa instantánea sabor carne ajinomen de 51 g,S/  3.40,,TOTTUS,Tottus,,[CLS] so ##pa instant ##án ##ea sabor carne aj ##ino ##men de 51 g [SEP]
mostaza alacena 220 g,S/  5.50,,Aceituna verde rellena con rocoto,Tottus,,[CLS] most ##aza ala ##cena 220 g [SEP]
mostaza frenchs pet clasica 567g,S/  16.50,,Por Tottus,Tottus,,[CLS] most ##aza fr ##en ##chs pet c ##lasi ##ca 567 ##g [SEP]
choclo dulce desgranado valle fértil 248 g,S/  6.50,,TOTTUS,Tottus,,[CLS] cho ##clo dulce des ##gra ##nado valle fé ##rti ##l 248 g [SEP]
comino molido tottus 60 gr,S/  6.70,,Frijol con Tocino Tottus 425 gr,Tottus,,[CLS] com ##ino mol ##ido tot ##tus 60 gr [SEP]
caldo sabor costilla de res doña gusta ajinomoto - 6 unidades,S/  1.70,,Por Tottus,Tottus,,[CLS] cal ##do sabor costi ##lla de res do ##ña gu ##sta aj ##ino ##moto - 6 unidades [SEP]
pennette integral agnesi x 500g,S/  16.50,,AJINOMOTO,Tottus,,[CLS] penn ##ette integral agn ##esi x 500 ##g [SEP]
fideos ensalada tornillo molitalia 251 g,S/  3.10,,Sopa instantánea sabor carne Ajinomen de 51 g,Tottus,,[CLS] fi ##deo ##s ens ##ala ##da torn ##illo mol ##ital ##ia 251 g [SEP]
pimienta negra molida badia 56.7 g,S/  10.60,,Por Tottus,Tottus,,[CLS] pi ##mien ##ta negra mol ##ida bad ##ia 56 . 7 g [SEP]
fideos fusilli tottus premium de 500 g,S/  4.50,,TOTTUS,Tottus,,[CLS] fi ##deo ##s fu ##sil ##li tot ##tus premiu ##m de 500 g [SEP]
pasta de ají panca tottus 205 g,S/  5.40,,Fideos Fusilli Tottus Premium de 500 g,Tottus,,[CLS] pasta de aj ##í pan ##ca tot ##tus 205 g [SEP]
fideo mostacholi sin gluten de 400 g,S/  12.70,21%,Por Tottus,Tottus,,[CLS] fi ##deo most ##acho ##li sin g ##lut ##en de 400 g [SEP]
fudge brownie 377 g,S/  10.50,,TOTTUS,Tottus,,[CLS] fu ##dge brown ##ie 377 g [SEP]
salsa inglesa premium,S/  7.60,,Pasta de Ají Panca Tottus 205 g,Tottus,,[CLS] salsa inglesa premiu ##m [SEP]
vinagre balsámico huerto alamein de 200 ml,S/  10.90,,Por Tottus,Tottus,,[CLS] vin ##ag ##re bal ##s ##ám ##ico hu ##erto alam ##ein de 200 ml [SEP]
turrón san josé 500 g,S/  17.90,,MOLINOS DEL MUNDO,Tottus,,[CLS] tur ##rón san jos ##é 500 g [SEP]
arveja partida costeño 500 g,S/  4,,Fideo Mostacholi sin gluten de 400 g,Tottus,,[CLS] arv ##eja partida coste ##ño 500 g [SEP]
fideos rigatoni n° 75 molitalia 250 g,S/  2.30,,Por Tottus,Tottus,,[CLS] fi ##deo ##s ri ##gato ##ni n° 75 mol ##ital ##ia 250 g [SEP]
quinua blanca tottus orígenes 500 g,S/  11.90,,KATZEL,Tottus,,[CLS] qui ##nu ##a blanca tot ##tus orígenes 500 g [SEP]
crema de tomates tottus 68 g,S/  2.90,,Fudge Brownie 377 g,Tottus,,[CLS] c ##rema de toma ##tes tot ##tus 68 g [SEP]
orégano entero tottus 10 g,S/  5.30,,Por Tottus,Tottus,,[CLS] or ##ég ##ano enter ##o tot ##tus 10 g [SEP]
ketchup americano tottus de 425 g,S/  5.90,,TOTTUS,Tottus,,[CLS] ket ##chu ##p americano tot ##tus de 425 g [SEP]
relish gourmet valle fértil 340 g,S/  11.90,,Ketchup Americano Tottus de 425 g,Tottus,,[CLS] re ##lis ##h go ##urm ##et valle fé ##rti ##l 340 g [SEP]
bonle manjarblanco x 500g,S/  11.30,,Por Tottus,Tottus,,[CLS] bon ##le manj ##ar ##bla ##nco x 500 ##g [SEP]
ajo molido piki 350 g,S/  10,,VALLE FERTIL,Tottus,,[CLS] ajo mol ##ido pi ##ki 350 g [SEP]
pasta precocida nissin cup noodles carne 68g,S/  4.90,9%,Relish Gourmet Valle Fértil 340 g,Tottus,,[CLS] pasta pre ##co ##cida ni ##ssin cup no ##od ##les carne 68 ##g [SEP]
salsa tare adelmi 300 g,S/  7.70,,Por Tottus,Tottus,,[CLS] salsa tar ##e adel ##mi 300 g [SEP]
hoja de laurel 5 gr,S/  2.60,,BONLE,Tottus,,[CLS] ho ##ja de lau ##rel 5 gr [SEP]
maíz pop corn costeño de 500 g,S/  4.80,,BONLE MANJARBLANCO X 500G,Tottus,,[CLS] maí ##z pop corn coste ##ño de 500 g [SEP]
tapenade de aceitunas agridulces de 109 g,S/  7.90,,Por Tottus,Tottus,,[CLS] tape ##nade de ac ##eit ##unas ag ##rid ##ul ##ces de 109 g [SEP]
ajo molido siba sibarita 100 g,S/  3.50,,PIKI,Tottus,,[CLS] ajo mol ##ido si ##ba si ##bari ##ta 100 g [SEP]
arvejitas verdes en conserva valle fértil 425 g,S/  8.80,,Ajo molido Piki 350 g,Tottus,,[CLS] arv ##eji ##tas verdes en conserva valle fé ##rti ##l 425 g [SEP]
lentejas con tocino tottus 425 gr,S/  5.90,,Por Tottus,Tottus,,[CLS] lente ##jas con to ##cino tot ##tus 425 gr [SEP]
pre-mezcla de galletas de avena,S/  7,,TOTTUS,Tottus,,[CLS] pre - mezcla de gall ##etas de ave ##na [SEP]
katzel mezc. pan queque/crepes 420g,S/  14,,Pre-mezcla de galletas de avena,Tottus,,[CLS] kat ##zel me ##z ##c . pan que ##que / c ##re ##pes 420 ##g [SEP]
salsa bbq nuez/azúcar 510 g,S/  30.90,,Por Tottus,Tottus,,[CLS] salsa b ##b ##q nu ##ez / az ##úcar 510 g [SEP]
fideos spaghetti n°2 agnesi 500 g,S/  11.50,15%,KATZEL,Tottus,,[CLS] fi ##deo ##s sp ##agh ##etti n° ##2 agn ##esi 500 g [SEP]
mayonesa tottus 190 g,S/  7.20,,KATZEL MEZC. PAN QUEQUE/CREPES 420G,Tottus,,[CLS] mayo ##nesa tot ##tus 190 g [SEP]
maíz pop corn tesoro del campo 500 g,S/  4.80,,Por Tottus,Tottus,,[CLS] maí ##z pop corn tesoro del campo 500 g [SEP]
mayonesa light hellmanns x 443 ml,S/  19.10,,SWEET BABY RAY'S,Tottus,,[CLS] mayo ##nesa light hell ##mann ##s x 443 ml [SEP]
salsa roja peruana casa verde 200 g,S/  6.60,,Salsa BBQ Nuez/Azúcar 510 g,Tottus,,[CLS] salsa roja per ##uana casa verde 200 g [SEP]
salsa vinagreta clásica,S/  9.80,,Por Tottus,Tottus,,[CLS] salsa vin ##ag ##reta clásica [SEP]
mezcla polvo umsha mazamorra morada bolsa x 125g,S/  3.70,,AGNESI,Tottus,,[CLS] mezcla pol ##vo ums ##ha ma ##zam ##or ##ra mora ##da bol ##sa x 125 ##g [SEP]
brownie mix x 275g,S/  65,,Fideos Spaghetti N°2 Agnesi 500 g,Tottus,,[CLS] brown ##ie mix x 275 ##g [SEP]
isatella crema de almendras acanelada 230g,S/  35,,Por Tottus,Tottus,,[CLS] isa ##tella c ##rema de al ##mend ##ras ac ##ane ##lada 230 ##g [SEP]
lentejon - bolsa 500 gr,S/  6.50,,COSTENO,Tottus,,[CLS] lente ##jon - bol ##sa 500 gr [SEP]
mostaza alacena 400 g,S/  8.80,,Lentejon - BOLSA 500 GR,Tottus,,[CLS] most ##aza ala ##cena 400 g [SEP]
gelatina frambuesa tottus 100gr,S/  3.60,,Por Tottus,Tottus,,[CLS] gela ##tina fram ##bue ##sa tot ##tus 100 ##gr [SEP]
salsa vinagreta,S/  6.90,,ALACENA,Tottus,,[CLS] salsa vin ##ag ##reta [SEP]
tottus pimienta negra molida 20 g,S/  2.50,,Mostaza Alacena 400 g,Tottus,,[CLS] tot ##tus pi ##mien ##ta negra mol ##ida 20 g [SEP]
comino molido kariño 18 gr,S/  3.50,,Por Tottus,Tottus,,[CLS] com ##ino mol ##ido kar ##iño 18 gr [SEP]
vinagre balsámico de 500 ml,S/  34,,TOTTUS,Tottus,,[CLS] vin ##ag ##re bal ##s ##ám ##ico de 500 ml [SEP]
gelatina cereza tottus 100gr,S/  3.60,,GELATINA FRAMBUESA TOTTUS 100GR,Tottus,,[CLS] gela ##tina ce ##rez ##a tot ##tus 100 ##gr [SEP]
romero entero 8 g,S/  3.30,,Por Tottus,Tottus,,[CLS] rom ##ero enter ##o 8 g [SEP]
fideo molitalia canuto pasta corta 235 g,S/  2.30,,WALIBI,Tottus,,[CLS] fi ##deo mol ##ital ##ia can ##uto pasta corta 235 g [SEP]
lomo de atún en aceite de oliva 80g,S/  12.90,,Salsa vinagreta,Tottus,,[CLS] lo ##mo de at ##ún en aceite de oli ##va 80 ##g [SEP]
mostaza tottus de 220 g,S/  3.55,,Por Tottus,Tottus,,[CLS] most ##aza tot ##tus de 220 g [SEP]
canela entera x 20 grs,S/  5.40,,,Tottus,,[CLS] cane ##la enter ##a x 20 gr ##s [SEP]
salsa sugo ricotta barilla 400 g,S/  17,17%,CANELA ENTERA X 20 GRS,Tottus,,[CLS] salsa su ##go rico ##tta bar ##illa 400 g [SEP]
fideos cabello de ángel nicolini 250 g,S/  1.90,,Por Tottus,Tottus,,[CLS] fi ##deo ##s cabe ##llo de án ##gel nic ##olin ##i 250 g [SEP]
garbanzo,S/  6.80,,BARILLA,Tottus,,[CLS] gar ##ban ##zo [SEP]
espárrago blanco en salmuera tottus 200 gr,S/  6.50,,Salsa Sugo Ricotta Barilla 400 g,Tottus,,[CLS] es ##pá ##rra ##go blanco en sal ##mu ##era tot ##tus 200 gr [SEP]
fideos anelli américa orgánicos 227 g,S/  12.55,,Por Tottus,Tottus,,[CLS] fi ##deo ##s ane ##lli am ##érica org ##ánico ##s 227 g [SEP]
nuez moscada entera 13 g,S/  5.90,,NICOLINI,Tottus,,[CLS] nu ##ez mos ##cada enter ##a 13 g [SEP]
sillao kikko 500 ml,S/  4.20,,Fideos Cabello de Ángel Nicolini 250 g,Tottus,,[CLS] sil ##lao ki ##kko 500 ml [SEP]
pimienta negra entera 14.2 g,S/  4.55,,Por Tottus,Tottus,,[CLS] pi ##mien ##ta negra enter ##a 14 . 2 g [SEP]
tallarín precio uno 500 g - bolsa 500 gr,S/  2.60,,COSTENO,Tottus,,[CLS] talla ##rí ##n precio uno 500 g - bol ##sa 500 gr [SEP]
piña en trozos tottus 565 g,S/  7.90,,Garbanzo,Tottus,,[CLS] pi ##ña en tro ##zos tot ##tus 565 g [SEP]
canela entera karino 9 g,S/  4.20,,Por Tottus,Tottus,,[CLS] cane ##la enter ##a kar ##ino 9 g [SEP]
sazonador umami ajinomoto de 250 g,S/  6.10,,AJINOMOTO,Tottus,,[CLS] sa ##zona ##dor uma ##mi aj ##ino ##moto de 250 g [SEP]
mostaza libby's 100 g,S/  3.80,,Sazonador Umami Ajinomoto de 250 g,Tottus,,[CLS] most ##aza lib ##by ' s 100 g [SEP]
pimienta negra molida 15 g,S/  4.70,,Por Tottus,Tottus,,[CLS] pi ##mien ##ta negra mol ##ida 15 g [SEP]
aceituna rellena de pimiento,S/  8.50,,LIBBYS,Tottus,,[CLS] ac ##eit ##una re ##llen ##a de pi ##miento [SEP]
salsa huancaina provenzal 64 g,S/  9.10,,Mostaza Libby's 100 g,Tottus,,[CLS] salsa hu ##anc ##aina proven ##zal 64 g [SEP]
spaghetti al huevo 500 g,S/  7.80,,Por Tottus,Tottus,,[CLS] sp ##agh ##etti al hu ##evo 500 g [SEP]
hongos y laurel 10 gr,S/  2.60,,,Tottus,,[CLS] hon ##gos y lau ##rel 10 gr [SEP]
salsa de tomate y albahaca pesto rosso sacla 190 g,S/  10.90,16%,Pimienta negra molida 15 g,Tottus,,[CLS] salsa de toma ##te y alba ##haca pes ##to rosso sac ##la 190 g [SEP]
salsa de tomate pomodori al forno e capperi sacla 285 g,S/  8.90,36%,Por Tottus,Tottus,,[CLS] salsa de toma ##te po ##mo ##dori al for ##no e cap ##peri sac ##la 285 g [SEP]
canela molida 15 g,S/  4.20,,EL OLIVAR,Tottus,,[CLS] cane ##la mol ##ida 15 g [SEP]
caldo sabor gallina - 25 unidades,S/  5.50,,Aceituna rellena de pimiento,Tottus,,[CLS] cal ##do sabor gall ##ina - 25 unidades [SEP]
hongos y laurel secos 12 g,S/  4.20,,Por Tottus,Tottus,,[CLS] hon ##gos y lau ##rel seco ##s 12 g [SEP]
cocina bosch pro445 ix hsg14i30sc 4 quemadores plateado,"S/1,359.00",15 %,Bosch,Metro,,[CLS] cocina bos ##ch pro ##44 ##5 i ##x h ##sg ##14 ##i ##30 ##sc 4 quem ##adores plate ##ado [SEP]
lavadora samsung wa15t5260bw 15kg wobble,"S/1,599.00",13 %,Samsung,Metro,,[CLS] lava ##dora sam ##sung wa ##15 ##t ##52 ##60 ##b ##w 15 ##kg wo ##bble [SEP]
cocina indurama montecarlo zafiro 5 quemadores croma,"S/1,799.00",32 %,Indurama,Metro,,[CLS] cocina ind ##ura ##ma monte ##car ##lo za ##fir ##o 5 quem ##adores c ##roma [SEP]
refrigerador top freezer mabe 250l rma255fypl total fresh flow platinum,"S/1,349.00",38 %,Mabe,Metro,,[CLS] ref ##rige ##rador top free ##zer mab ##e 250 ##l r ##ma ##25 ##5 ##fy ##pl total fresh flow platinum [SEP]
thomas licuadora 1000w th-840d 10 velocidades,S/. 549.00,38 %,Thomas,Metro,,[CLS] th ##omas li ##cua ##dora 1000 ##w th - 840 ##d 10 velocidade ##s [SEP]
imaco waflera wm4150,S/199.00,0,Imaco,Metro,,[CLS] ima ##co wa ##f ##lera w ##m ##41 ##50 [SEP]
cocina coldex cx751 fg125i48sc 5 quemadores plateado,"S/1,859.00",15 %,Coldex,Metro,,[CLS] cocina cold ##ex c ##x ##7 ##51 f ##g ##12 ##5 ##i ##48 ##sc 5 quem ##adores plate ##ado [SEP]
imaco olla arrocera rc15n 1.5 lt,S/109.00,15 %,Imaco,Metro,,[CLS] ima ##co olla ar ##roc ##era r ##c ##15 ##n 1 . 5 lt [SEP]
trozos de atún en aceite vegetal metro lata 170 g,S/3.76,20 %,Metro,Metro,,[CLS] tro ##zos de at ##ún en aceite vegetal metro lata 170 g [SEP]
aceite de soya sao 900ml,S/8.30,9 %,Sao,Metro,,[CLS] aceite de soy ##a sao 900 ##ml [SEP]
arroz extra costeño 5kg,S/. 22.90,11 %,Costeño,Metro,,[CLS] arroz extra coste ##ño 5 ##kg [SEP]
aceite vegetal primor premium 900ml,S/10.70,11 %,Primor,Metro,,[CLS] aceite vegetal primo ##r premiu ##m 900 ##ml [SEP]
sixpack galletas soda field 32g,S/2.56,20 %,Field,Metro,,[CLS] six ##pac ##k gall ##etas so ##da field 32 ##g [SEP]
fideo spaghetti don vittorio 950g,S/6.00,11 %,Don Vittorio,Metro,,[CLS] fi ##deo sp ##agh ##etti don vit ##torio 950 ##g [SEP]
arroz extra metro bolsa 5 kg,S/. 17.99,6 %,Metro,Metro,,[CLS] arroz extra metro bol ##sa 5 kg [SEP]
trozos de atún en aceite primor 140g,S/5.99,0,Primor,Metro,,[CLS] tro ##zos de at ##ún en aceite primo ##r 140 ##g [SEP]
sal de mesa marina emsal bolsa 1 kg,S/1.90,13 %,Emsal,Metro,,[CLS] sal de mesa marina em ##sal bol ##sa 1 kg [SEP]
mayonesa alacena 850g,S/14.90,20 %,AlaCena,Metro,,[CLS] mayo ##nesa ala ##cena 850 ##g [SEP]
galletas san jorge soda pack 7un,S/3.30,19 %,San Jorge,Metro,,[CLS] gall ##etas san jo ##rge so ##da pack 7 ##un [SEP]
aceite vegetal primor clásico 900ml,S/10.10,12 %,Primor,Metro,,[CLS] aceite vegetal primo ##r clásico 900 ##ml [SEP]
fideo tallarín nicolini 950g,S/5.90,0,Nicolini,Metro,,[CLS] fi ##deo talla ##rí ##n nic ##olin ##i 950 ##g [SEP]
fideo spaghetti nicolini 950g,S/5.90,0,Nicolini,Metro,,[CLS] fi ##deo sp ##agh ##etti nic ##olin ##i 950 ##g [SEP]
filete de atún en aceite florida 140g,S/6.00,7 %,Florida,Metro,,[CLS] file ##te de at ##ún en aceite flor ##ida 140 ##g [SEP]
sixpack galletas coronita con crema de chocolate 36g,S/3.84,20 %,Field,Metro,,[CLS] six ##pac ##k gall ##etas coro ##nita con c ##rema de chocolate 36 ##g [SEP]
maíz pop corn cuisine & co 500g,S/3.44,20 %,Cuisine & Co,Metro,,[CLS] maí ##z pop corn cuisine & co 500 ##g [SEP]
arveja cuisine & co 500g,S/2.80,20 %,Cuisine & Co,Metro,,[CLS] arv ##eja cuisine & co 500 ##g [SEP]
lenteja cuisine & co 500g,S/3.91,20 %,Cuisine & Co,Metro,,[CLS] lente ##ja cuisine & co 500 ##g [SEP]
lenteja bebé cuisine & co bolsa 500 gr,S/4.08,20 %,Cuisine & Co,Metro,,[CLS] lente ##ja be ##bé cuisine & co bol ##sa 500 gr [SEP]
aceite vegetal máxima 900ml,S/7.90,0,Máxima,Metro,,[CLS] aceite vegetal máxima 900 ##ml [SEP]
arroz superior metro bolsa 5 kg,S/. 17.50,3%,Metro,Metro,,[CLS] arroz superior metro bol ##sa 5 kg [SEP]
gelatina universal de fresa sobre 130g,S/3.75,0,Universal,Metro,,[CLS] gela ##tina universal de fr ##esa sobre 130 ##g [SEP]
salsa roja completa don vittorio 400g,S/6.90,0,Don Vittorio,Metro,,[CLS] salsa roja completa don vit ##torio 400 ##g [SEP]
salsa de tomate pomarola 145g,S/2.10,0,Molitalia,Metro,,[CLS] salsa de toma ##te po ##mar ##ola 145 ##g [SEP]
sal de cocina marina emsal bolsa 1 kg,S/1.90,13 %,Emsal,Metro,,[CLS] sal de cocina marina em ##sal bol ##sa 1 kg [SEP]
pack x6 galleta pícaras la clásica 40g,S/4.70,4 %,Picaras,Metro,,[CLS] pack x ##6 gall ##eta p ##í ##cara ##s la clásica 40 ##g [SEP]
galletas sabor vainilla field paquete 37 g pack 6 unid,S/4.08,20 %,Field,Metro,,[CLS] gall ##etas sabor vain ##illa field pa ##quet ##e 37 g pack 6 uni ##d [SEP]
sixpack galletas margarita 46.5g,S/4.50,0,Sayón,Metro,,[CLS] six ##pac ##k gall ##etas mar ##gari ##ta 46 . 5 ##g [SEP]
sixpack galletas morochas 30g,S/. 4.90,10 %,Nestlé,Metro,,[CLS] six ##pac ##k gall ##etas mor ##ocha ##s 30 ##g [SEP]
cabello de ángel don vittorio 250g,S/2.45,0,Don Vittorio,Metro,,[CLS] cabe ##llo de án ##gel don vit ##torio 250 ##g [SEP]
concentrado en polvo doña gusta sabor gallina 6un,S/1.70,0,Doña Gusta,Metro,,[CLS] con ##centra ##do en pol ##vo do ##ña gu ##sta sabor gall ##ina 6 ##un [SEP]
arroz gran reserva extra valle norte bolsa 5 kg,S/. 22.90,8%,Valle Norte,Metro,,[CLS] arroz gran reserva extra valle norte bol ##sa 5 kg [SEP]
sixpack galletas chips ahoy 37g,S/6.70,0,chips-ahoy,Metro,,[CLS] six ##pac ##k gall ##etas chip ##s ah ##oy 37 ##g [SEP]
fideos cuisine &co cabello de ángel 250g,S/1.70,5 %,cuisine---co,Metro,,[CLS] fi ##deo ##s cuisine & co cabe ##llo de án ##gel 250 ##g [SEP]
fideos cuisine &co canuto 250g,S/1.70,5 %,cuisine---co,Metro,,[CLS] fi ##deo ##s cuisine & co can ##uto 250 ##g [SEP]
tripack menestras máxima 500g: arveja partida + lenteja + frejol canario,S/12.90,12 %,Máxima,Metro,,[CLS] trip ##ack men ##est ##ras máxima 500 ##g : arv ##eja partida + lente ##ja + fr ##ejo ##l can ##ario [SEP]
harina preparada blanca flor 1kg,S/8.90,7 %,Blanca Flor,Metro,,[CLS] hari ##na pre ##parada blanca flor 1 ##kg [SEP]
fideo linguini grosso don vittorio 950g,S/6.00,11 %,Don Vittorio,Metro,,[CLS] fi ##deo li ##ngu ##ini grosso don vit ##torio 950 ##g [SEP]
fideo spaghetti don vittorio 450g,S/4.00,13 %,Don Vittorio,Metro,,[CLS] fi ##deo sp ##agh ##etti don vit ##torio 450 ##g [SEP]
pack x6 galletas rellenas charada 37.8g,S/3.84,20 %,Field,Metro,,[CLS] pack x ##6 gall ##etas re ##llen ##as char ##ada 37 . 8 ##g [SEP]
twelvepack galletas oreo original 36g,S/7.36,20 %,Oreo,Metro,,[CLS] twelve ##pac ##k gall ##etas ore ##o original 36 ##g [SEP]
saborizante sabor esencia de vainilla umsha 90ml,S/2.20,0,Umsha,Metro,,[CLS] sabor ##iza ##nte sabor ese ##ncia de vain ##illa ums ##ha 90 ##ml [SEP]
pasta corta macarrón bolsa 500 g,S/3.30,0,Molitalia,Metro,,[CLS] pasta corta mac ##ar ##rón bol ##sa 500 g [SEP]
pasta corta tornillo bolsa 500 g,S/3.30,0,Molitalia,Metro,,[CLS] pasta corta torn ##illo bol ##sa 500 g [SEP]
pasta de tomate cuisine & co doypack 100 g,S/1.56,20 %,Cuisine & Co,Metro,,[CLS] pasta de toma ##te cuisine & co do ##y ##pac ##k 100 g [SEP]
arroz extra añejo cuisine&co bolsa 5 kg,S/. 20.90,12 %,Cuisine & Co,Metro,,[CLS] arroz extra a ##ñ ##ejo cuisine & co bol ##sa 5 kg [SEP]
arroz extra natural gran chalan bolsa 5 kg,S/. 21.70,3 %,Gran Chalan,Metro,,[CLS] arroz extra natural gran cha ##lan bol ##sa 5 kg [SEP]
pastina tornillo don vittorio 500g,S/4.20,0,Don Vittorio,Metro,,[CLS] pasti ##na torn ##illo don vit ##torio 500 ##g [SEP]
filete de atún en agua florida 140g,S/6.00,7 %,Florida,Metro,,[CLS] file ##te de at ##ún en agua flor ##ida 140 ##g [SEP]
durazno en mitades metro lata 820 g,S/7.44,20 %,Metro,Metro,,[CLS] dura ##zno en mitad ##es metro lata 820 g [SEP]
papas inka chips sal de mar 135g,S/6.50,18 %,Inka Chips,Metro,,[CLS] papa ##s in ##ka chip ##s sal de mar 135 ##g [SEP]
quinua máxima 500g,S/7.30,0,Máxima,Metro,,[CLS] qui ##nu ##a máxima 500 ##g [SEP]
mostaza libbys doypack 200 g,S/5.20,0,Libby's,Metro,,[CLS] most ##aza lib ##by ##s do ##y ##pac ##k 200 g [SEP]
vinagre blanco del firme doy pack 1000 ml,S/4.80,0,Del Firme,Metro,,[CLS] vin ##ag ##re blanco del firme do ##y pack 1000 ml [SEP]
puré de papa nicolini 125g,S/3.30,0,Nicolini,Metro,,[CLS] pur ##é de papa nic ##olin ##i 125 ##g [SEP]
arroz superior impacto bolsa 5 kg,S/. 15.90,22%,Impacto,Metro,,[CLS] arroz superior impacto bol ##sa 5 kg [SEP]
arroz extra paisana bolsa 5 kg,S/. 22.65,0,Paisana,Metro,,[CLS] arroz extra pais ##ana bol ##sa 5 kg [SEP]
arroz superior paisana bolsa 5 kg,S/. 18.50,9 %,Paisana,Metro,,[CLS] arroz superior pais ##ana bol ##sa 5 kg [SEP]
filete de atún primor 140g,S/6.10,0,Primor,Metro,,[CLS] file ##te de at ##ún primo ##r 140 ##g [SEP]
harina preparada favorita 1kg,S/6.00,0,Favorita,Metro,,[CLS] hari ##na pre ##parada favor ##ita 1 ##kg [SEP]
lomos de atún campomar en agua y sal 150g,S/5.90,6 %,Campomar,Metro,,[CLS] lo ##mos de at ##ún campo ##mar en agua y sal 150 ##g [SEP]
leche condensada nestlé lata 393g,S/6.20,17 %,Nestlé,Metro,,[CLS] lec ##he conde ##nsa ##da nest ##lé lata 393 ##g [SEP]
gelatina universal de piña sobre 130g,S/3.75,0,Universal,Metro,,[CLS] gela ##tina universal de pi ##ña sobre 130 ##g [SEP]
gelatina en polvo sabor a fresa royal sobre 160 g,S/3.00,20 %,Royal,Metro,,[CLS] gela ##tina en pol ##vo sabor a fr ##esa royal sobre 160 g [SEP]
gelatina sabor fresa diet universal 19g,S/3.50,0,Universal,Metro,,[CLS] gela ##tina sabor fr ##esa diet universal 19 ##g [SEP]
sillao aji-no-sillao botella 500 ml,S/4.80,0,Aji-No-Sillao,Metro,,[CLS] sil ##lao aj ##i - no - sil ##lao bot ##ella 500 ml [SEP]
salsa clásica molitalia pomarola 290g,S/4.00,0,Molitalia,Metro,,[CLS] salsa clásica mol ##ital ##ia po ##mar ##ola 290 ##g [SEP]
pimienta negra molida sibarita sobre 6 unid,S/3.90,0,Sibarita,Metro,,[CLS] pi ##mien ##ta negra mol ##ida si ##bari ##ta sobre 6 uni ##d [SEP]
mayonesa alacena 475g,S/12.90,14 %,AlaCena,Metro,,[CLS] mayo ##nesa ala ##cena 475 ##g [SEP]
ketchup alacena 380g,S/9.50,0,AlaCena,Metro,,[CLS] ket ##chu ##p ala ##cena 380 ##g [SEP]
canela entera sibarita sobre 10 g,S/3.30,0,Sibarita,Metro,,[CLS] cane ##la enter ##a si ##bari ##ta sobre 10 g [SEP]
sémola molitalia bolsa 200 g,S/2.00,0,Molitalia,Metro,,[CLS] sé ##mol ##a mol ##ital ##ia bol ##sa 200 g [SEP]
sixpack galletas soda v original 35g,S/3.70,0,Victoria,Metro,,[CLS] six ##pac ##k gall ##etas so ##da v original 35 ##g [SEP]
sixpack galleta costa agua light 42g,S/4.60,0,Costa,Metro,,[CLS] six ##pac ##k gall ##eta costa agua light 42 ##g [SEP]
sixpack galletas de chocolate doña pepa field 23g,S/4.00,20 %,Field,Metro,,[CLS] six ##pac ##k gall ##etas de chocolate do ##ña pe ##pa field 23 ##g [SEP]
pack x9 wafer cua cua field 18g,S/5.20,20 %,Field,Metro,,[CLS] pack x ##9 wa ##fer cu ##a cu ##a field 18 ##g [SEP]
spaguetti molitalia 950g,S/6.10,8 %,Molitalia,Metro,,[CLS] sp ##agu ##etti mol ##ital ##ia 950 ##g [SEP]
pastina canuto rayado don vittorio 235g,S/2.30,0,Don Vittorio,Metro,,[CLS] pasti ##na can ##uto raya ##do don vit ##torio 235 ##g [SEP]
pasta para ensalada tornillo especial con espinaca y tomate molitalia bolsa 250 g,S/3.00,0,Molitalia,Metro,,[CLS] pasta para ens ##ala ##da torn ##illo especial con es ##pina ##ca y toma ##te mol ##ital ##ia bol ##sa 250 g [SEP]
lomos de atún campomar en aceite lata 150g,S/5.90,6 %,Campomar,Metro,,[CLS] lo ##mos de at ##ún campo ##mar en aceite lata 150 ##g [SEP]
