Lista de Productos,Precios,Descuento,Marca,Supermercado,Image URL,Lista de Productos Normalizados
mezcla de aderezo en polvo para pollo a la brasa de 45 g,S/  3.50,,PRECIO UNO,Tottus,,[CLS] mezcla de ad ##ere ##zo en pol ##vo para poll ##o a la bras ##a de 45 g [SEP]
fideos don vittorio spaghetti 950 g,S/  5.10,20%,Aceite de soya precio uno de 900 mL,Tottus,,[CLS] fi ##deo ##s don vit ##torio sp ##agh ##etti 950 g [SEP]
trozos de atún en aceite,S/  13.20,,Por Tottus,Tottus,,[CLS] tro ##zos de at ##ún en aceite [SEP]
pack menestras tottus: lenteja 500 gr + arveja 500 gr + frijol canario 500 gr - pack 3 un,S/  14.50,,TOTTUS,Tottus,,[CLS] pack men ##est ##ras tot ##tus : lente ##ja 500 gr + arv ##eja 500 gr + fri ##jo ##l can ##ario 500 gr - pack 3 un [SEP]
caja aceite vegetal tottus 900ml 12 unidades,S/  93.60,16%,Fideos Spaghetti Tottus 1 kg,Tottus,,[CLS] caja aceite vegetal tot ##tus 900 ##ml 12 unidades [SEP]
aceite vegetal tottus de 900 ml,S/  7.90,,Por Tottus,Tottus,,[CLS] aceite vegetal tot ##tus de 900 ml [SEP]
mayonesa alacena en doypack de 475 g,S/  10.90,27%,ALACENA,Tottus,,[CLS] mayo ##nesa ala ##cena en do ##y ##pac ##k de 475 g [SEP]
duraznos tottus en mitades 820 g,S/  8.90,23%,Mayonesa Alacena en Doypack de 475 g,Tottus,,[CLS] dura ##zno ##s tot ##tus en mitad ##es 820 g [SEP]
paneton buon natale bolsa x800g,S/  17.18,25%,Por Tottus,Tottus,,[CLS] pan ##eton buon natale bol ##sa x ##80 ##0 ##g [SEP]
syrup hersheys chocolate x 680 gr,S/  20.90,,TOTTUS,Tottus,,[CLS] sy ##rup her ##she ##ys chocolate x 680 gr [SEP]
filete de atún en agua y sal de 140 g,S/  5.50,25%,Duraznos Tottus en mitades 820 g,Tottus,,[CLS] file ##te de at ##ún en agua y sal de 140 g [SEP]
aceite vegetal deleite premium 900ml,S/  8.30,6%,Por Tottus,Tottus,,[CLS] aceite vegetal dele ##ite premiu ##m 900 ##ml [SEP]
calamares en su tinta vigilante 115 g,S/  12.10,,BUON NATALE,Tottus,,[CLS] cal ##amar ##es en su tin ##ta vi ##gil ##ante 115 g [SEP]
sazonador pops costeño de mantequilla de 81 g,S/  8.50,,PANETON BUON NATALE BOLSA X800G,Tottus,,[CLS] sa ##zona ##dor pop ##s coste ##ño de man ##te ##quilla de 81 g [SEP]
aceite de oliva extra virgen tottus 500 ml,S/  22.90,,Por Tottus,Tottus,,[CLS] aceite de oli ##va extra vir ##gen tot ##tus 500 ml [SEP]
