Lista de Productos,Precios,Descuento,Marca,Supermercado,Image URL,Lista de Productos Normalizados
mayonesa alacena 850 gr,S/  18.70,,LASAGNA TOTTUS X 250 GR,Tottus,,mayones alacen 850 gr
mezcla para torta de chocolate katzel de 510 g,S/  14.50,,Por Tottus,Tottus,,mezcl tort chocolat katzel 510 g
pre-mezcla de panqueques con chispas de sabor a chocolate,S/  6.90,,MOLITALIA,Tottus,,pre-mezcl panquequ chisp sabor chocolat
filetes de atún tottus en agua 170 g,S/  4.60,,Fideo tallarín de 500 g,Tottus,,filet atun tottus agu 170 g
duraznos tottus en mitades 820 g,S/  8.40,27%,Por Tottus,Tottus,,durazn tottus mitad 820 g
caja de 6 panetones donofrio en bolsa 900 g,S/  174,,D'ONOFRIO,Tottus,,caj 6 paneton donofri bols 900 g
syrup hersheys chocolate x 680 gr,S/  20.90,,Panetón Donofrio En Caja 900 g - Caja 900 g,Tottus,,syrup hersheys chocolat x 680 gr
grated de atún 165 gr,S/  4.70,,Por Tottus,Tottus,,grat atun 165 gr
aceite oliva os  extr virgen 200 ml,S/  18.90,,OLIVOS DEL SUR,Tottus,,aceit oliv extr virg 200 ml
pasta de trigo nicolini tallarín grueso bolsa de 950 g,S/  5.90,,ACEITE OLIVA OS  EXTR VIRGEN 200 ML,Tottus,,past trig nicolini tallarin grues bols 950 g
vinagre de manzana 500 ml,S/  11.10,,Por Tottus,Tottus,,vinagr manzan 500 ml
syrup de caramelo hersheys 623 g,S/  24.90,,NICOLINI,Tottus,,syrup caramel hersheys 623 g
fideos spaghetti molitalia de 950 g,S/  6.50,,Pasta de trigo Nicolini tallarín grueso bolsa de 950 g,Tottus,,fide spaghetti molitali 950 g
panetón de la marca bimbo en caja de 900 g,S/  28,,Por Tottus,Tottus,,paneton marc bimb caj 900 g
pasta linguini don vittorio de 450 g,S/  4.70,,,Tottus,,past linguini don vittori 450 g
mayonesa alacena 190 g,S/  9.90,,Vinagre de manzana 500 mL,Tottus,,mayones alacen 190 g
chuño bolsa de 180 g,S/  3.60,,Por Tottus,Tottus,,chuñ bols 180 g
sal de maras fina tottus orígenes doypack 600 g,S/  9.90,,HERSHEYS,Tottus,,sal mar fin tottus origen doypack 600 g
arroz extra gran chalán de 5 kg,S/  23.60,,Syrup de Caramelo Hersheys 623 g,Tottus,,arroz extra gran chalan 5 kg
filete de atún real en agua light de 80 g,S/  12.40,,Por Tottus,Tottus,,filet atun real agu light 80 g
vinagre de manzana tottus 1 lt,S/  13.90,,TOTTUS,Tottus,,vinagr manzan tottus 1 lt
duraznos en almíbar,S/  9.90,17%,Vinagre de Manzana Tottus 1 Lt,Tottus,,durazn almib
turrón doña pepa tottus 50 gr,S/  3.10,,Por Tottus,Tottus,,turron doñ pep tottus 50 gr
turrón doña pepa de 1 kg,S/  21.90,,ARICA,Tottus,,turron doñ pep 1 kg
ají pollero casa verde,S/  4.40,,Duraznos en almíbar,Tottus,,aji poller cas verd
salsa bbq picante,S/  9.90,,Por Tottus,Tottus,,sals bbq picant
aceite de girasol orgánico refinado tottus premium 750 ml,S/  26.60,,TOTTUS,Tottus,,aceit girasol organ refin tottus premium 750 ml
tuco sibarita tallarines 50.4 g,S/  4.40,,Turrón Doña Pepa Tottus 50 gr,Tottus,,tuc sibarit tallarin 50.4 g
aceite oleico en botella de 946 ml,S/  39.90,,Por Tottus,Tottus,,aceit oleic botell 946 ml
arroz gourmet extra añejo gran chalán de 5 kg,S/  24.70,,TOTTUS,Tottus,,arroz gourmet extra añej gran chalan 5 kg
lentejas tottus 500 g,S/  4.30,,Turrón Doña Pepa de 1 kg,Tottus,,lentej tottus 500 g
pulpa final de tomate tottus x 400 g,S/  4.90,,Por Tottus,Tottus,,pulp final tomat tottus x 400 g
mayonesa tottus de 950 g,S/  13.90,,TOTTUS,Tottus,,mayones tottus 950 g
mazamorra de maíz morado 140 g,S/  4,,Mayonesa Tottus de 950 g,Tottus,,mazamorr maiz mor 140 g
harina sin preparar,S/  6.90,,Por Tottus,Tottus,,harin prepar
doypack dulce de leche gloria 200 g,S/  4.20,,ROYAL,Tottus,,doypack dulc lech glori 200 g
salsa de soya shoyu kikko de 350 ml,S/  7.30,,Mazamorra de Maíz Morado 140 g,Tottus,,sals soy shoyu kikk 350 ml
semillas de calabaza amaru superfoods 200 g,S/  13.50,16%,Por Tottus,Tottus,,semill calabaz amaru superfoods 200 g
bimbolete sabor vainilla bimbo 3 unidades,S/  3.10,16%,MOLITALIA,Tottus,,bimbolet sabor vainill bimb 3 unidad
lomo de atun en aceite vegetal campomar x 150gr,S/  5.80,8%,Harina sin preparar,Tottus,,lom atun aceit vegetal campom x 150gr
paneton todinno 900g+todinnito 85g c/fruta conf,S/  26.90,13%,Por Tottus,Tottus,,paneton todinn 900g+todinnit 85g c/frut conf
sazonador 6 unidades,S/  2,,GLORIA,Tottus,,sazon 6 unidad
arroz superior tottus 750 g,S/  3.40,,Doypack Dulce de Leche Gloria 200 g,Tottus,,arroz superior tottus 750 g
leche condensada nestlé 393 g,S/  7.50,,Por Tottus,Tottus,,lech condens nestl 393 g
pimienta 100% pura sibarita 21.6 g,S/  3.40,,SIBARITA,Tottus,,pimient 100 % pur sibarit 21.6 g
aceite de oliva orgánico garcía de la cruz 500 ml,S/  38.90,,Pimienta 100% Pura Sibarita 21.6 g,Tottus,,aceit oliv organ garc cruz 500 ml
pinguino marinela 80 g,S/  3.50,,Por Tottus,Tottus,,pinguin marinel 80 g
fideos rigatoni don vittorio 500 g,S/  4.40,,GARCIA DE LA CRUZ,Tottus,,fide rigatoni don vittori 500 g
fideos spaghetti agnesi 1 kg,S/  22.50,,Aceite de Oliva Orgánico García de la Cruz 500 mL,Tottus,,fide spaghetti agnesi 1 kg
caldo de gallina doña gusta ajinomoto - 6 unidades,S/  1.70,,Por Tottus,Tottus,,cald gallin doñ gust ajinomot - 6 unidad
comino sibarita 216 g,S/  4,,MARINELA,Tottus,,comin sibarit 216 g
flan sabor a chocolate de 150 g,S/  4.50,,Pinguino Marinela 80 g,Tottus,,flan sabor chocolat 150 g
fideos de trigo codo rayado don vittorio 500 g,S/  4.40,,Por Tottus,Tottus,,fide trig cod ray don vittori 500 g
sal de maras gruesa con hierbas mediterráneas tottus 90 gr,S/  9.90,,DON VITTORIO,Tottus,,sal mar grues hierb mediterran tottus 90 gr
fideos rigatoni nicolini de 250 g,S/  1.90,,Fideos Rigatoni Don Vittorio 500 g,Tottus,,fide rigatoni nicolini 250 g
vinagre blanco tottus x 1 l,S/  3.60,,Por Tottus,Tottus,,vinagr blanc tottus x 1 l
