Lista de Productos,Precios,Descuento,Marca,Supermercado
Gelatina en Polvo Sabor a Fresa Royal Sobre 160 g,S/3.00,20 %,Royal,Metro
Gelatina Sabor Fresa Diet Universal 19g,S/3.50,0,Universal,Metro
Sillao Aji-No-Sillao Botella 500 ml,S/4.80,0,Aji-No-Sillao,Metro
Salsa Clásica Molitalia Pomarola 290g,S/4.00,0,Molitalia,Metro
Pimienta Negra Molida Sibarita Sobre 6 Unid,S/3.90,0,Sibarita,Metro
Mayonesa AlaCena 475g,S/12.90,14 %,AlaCena,Metro
Ketchup AlaCena 380g,S/9.50,0,AlaCena,Metro
Canela Entera Sibarita Sobre 10 g,S/3.30,0,Sibarita,Metro
Sémola Molitalia Bolsa 200 g,S/2.00,0,Molitalia,Metro
Sixpack Galletas Soda V Original 35g,S/3.70,0,Victoria,Metro
Sixpack Galleta Costa Agua Light 42g,S/4.60,0,Costa,Metro
Sixpack Galletas de Chocolate Doña Pepa Field 23g,S/4.00,20 %,Field,Metro
Galletas Animalitos Vainilla Bolsa 500 g,S/4.90,0,San Jorge,Metro
Pack x9 Wafer Cua Cua Field 18g,S/5.20,20 %,Field,Metro
Spaguetti Molitalia 950g,S/6.10,8 %,Molitalia,Metro
Pastina Tornillo Chico Molitalia Bolsa 250 g,S/2.10,0,Molitalia,Metro
Pastina Canuto Rayado Don Vittorio 235g,S/2.30,0,Don Vittorio,Metro
Pasta para Ensalada Tornillo Especial con Espinaca y Tomate Molitalia Bolsa 250 g,S/3.00,0,Molitalia,Metro
Lomos de Atún Campomar en Aceite Lata 150g,S/5.90,6 %,Campomar,Metro
Filete de Atún en Aceite Campomar 150g,S/. 5.90,9 %,Campomar,Metro
Sopa Instantánea Ajinomen Sabor Gallina Picante 80g,S/1.60,0,Ajinomen,Metro
Sopa Instantánea Ajinomen Sabor Gallina 80g,S/1.60,0,Ajinomen,Metro
Lenteja Bebé Tesoro Del Campo Bolsa 500 g,S/5.30,0,Tesoro del Campo,Metro
Trigo Mote Costeño Bolsa 500 g,S/4.00,0,Costeño,Metro
Lenteja Costeño Bolsa 500 g,S/4.64,20 %,Costeño,Metro
Arroz Superior Valle Norte Primera cosecha Bolsa 5 Kg,S/. 20.90,0,Valle Norte,Metro
Arroz Superior Costeño Bolsa 5 Kg,S/. 22.50,0,Costeño,Metro
Arroz Extra Costeño Bolsa 750 g,S/. 4.50,0,Costeño,Metro
Aceite de Oliva La Española Extra Virgen Botella 1 L,S/. 29.94,40 %,La Española,Metro
Sixpack Galletas Saladas Ritz Sandwich Sabor Queso 30g,S/4.50,0,Ritz,Metro
Sixpack Galletas Club Social Original 24g,S/4.20,0,club-social,Metro
Fideos Cuisine &Co Canuto 250g,S/1.70,5 %,cuisine---co,Metro
Fideos Cuisine &Co Tornillo 450g,S/3.70,0,cuisine---co,Metro
Fideos Cuisine &Co Corbata 250g,S/1.70,5 %,cuisine---co,Metro
Fideos Codo Rayado Don Vittorio 225g,S/2.30,0,don-vittorio,Metro
Tripack Menestras Cuisine & Co 500g: Arveja + Lenteja + Frijol Canario,S/14.20,10 %,Cuisine & Co,Metro
Maíz Frito en Hojuelas Tortees Picante 71g,S/2.70,0,Frito Lays,Metro
Mostaza B&D 200g,S/3.12,20 %,B&D,Metro
Fideo Tallarín Delgado Nicolini 450g,S/3.70,7 %,Nicolini,Metro
Fideo Fettuccini Don Vittorio 950g,S/6.00,11 %,Don Vittorio,Metro
Laurel en Hojas Secas Cuisine & Co 3g,S/1.60,0,Cuisine & Co,Metro
Comino Molido Cuisine & Co 18g,S/2.79,0,Cuisine & Co,Metro
Pimienta Negra Molida Cuisine & Co 18g,S/3.20,0,Cuisine & Co,Metro
Vinagre Blanco Cuisine & Co 1L,S/4.60,0,Cuisine & Co,Metro
Vinagre Blanco Cuisine & Co 500ml,S/2.99,0,Cuisine & Co,Metro
Atún Desmenuzado Máxima 170g,S/2.72,20 %,Máxima,Metro
Aceite de Girasol Cuisine & Co 900ml,S/11.90,7 %,Cuisine & Co,Metro
Maicena Umsha 180g,S/2.80,0,Umsha,Metro
Sazonador Ají Panca sin Picante Sobre 57 g 6 unid,S/2.20,0,Sibarita,Metro
Sal Fina 600 g,S/7.84,20 %,maras-gourmet,Metro
Trigo Mote Bolsa 350 g,S/2.70,0,Tesoro del Campo,Metro
