Lista de Productos,Precios,Descuento,Marca,Supermercado
Galletas de Arroz Clásicas Sin Gluten Costeño Doypack 150 g,S/6.79,0,Costeño,Metro
Galletas con Grageas Chips Fiesta Paquete 36 g Pack 6 unid,S/4.30,0,Costa,Metro
Spaghetti Integral La Molisana Le Integrali 500g,S/. 6.67,25 %,La Molisana,Metro
Grated De Atun En Aceite Vegetal Florida Lata 170 g,S/4.60,0,Florida,Metro
Saquillo De Arroz Maxima Contenido 10 kg,S/. 30.90,0,Máxima,Metro
Lenteja Máxima 500g,S/4.30,0,Máxima,Metro
Pasta Codo Rayado Molitalia Bolsa 250 g,S/2.10,0,Molitalia,Metro
Lenteja Baby Paisana Bolsa 500 g,S/5.19,0,Paisana,Metro
Sopa Fuchi Fu Provenzal 55 g,S/4.44,0,Provenzal,Metro
Salsa De Aji Amarillin Sibarita 100 g,S/2.64,20 %,Sibarita,Metro
Penne Rigate Cuisine & Co 500g,S/3.50,12 %,Cuisine & Co,Metro
Fideos Fusilli Cuisine & Co 500g,S/3.50,12 %,Cuisine & Co,Metro
Filete Atún en Aceite de Girasol Real Tripack de 80 g c/u,S/12.90,0,Real,Metro
Arroz Extra Paisana Bolsa 1 kg,S/. 5.20,0,Paisana,Metro
Chifles Norteños Milys 250g,S/10.20,0,Milys,Metro
Harina Sin Preparar Nicolini 1kg,S/6.00,0,Nicolini,Metro
Salsa de Soya con Ajo y Kión Kikko 350ml,S/4.70,0,Kikko,Metro
Sillau #06 Kikko Botella 350 ml,S/3.50,0,Kikko,Metro
Manjarblanco Bazo Velarde 200g,S/4.65,0,Bazo Velarde,Metro
Maizena Universal Bolsa 180 g,S/3.60,0,Universal,Metro
Crema de Leche Nestlé Lata 300 g,S/10.90,0,Nestlé,Metro
Salsa a la Bolognesa Molitalia Pomarola 170g,S/4.40,0,Molitalia,Metro
Manjar blanco Bonlé Bolsa 200 g - MANJAR BONLE X 200,S/4.40,0,Bonlé,Metro
Crema Instantánea Maggi Sabor Espárragos 65g,S/3.40,12 %,Maggi,Metro
Galleta Integrales Costa Six Pack,S/5.00,0,Costa,Metro
Galletas con Quinua y Frutos Rojos Incasur Caja 6 unid Bolsa 30 gr,S/8.00,6 %,Incasur,Metro
Crema de Leche UHT Gloria bolsa 946 ml,S/22.90,20 %,Gloria,Metro
Pudín de Chocolate en Polvo Royal Bolsa 110 g,S/2.80,20 %,Royal,Metro
Mazamorra Morada en Polvo Royal Bolsa 140 g,S/2.71,20 %,Royal,Metro
Flan Universal Vainilla 150g,S/4.60,0,Universal,Metro
Gelatina Universal de Limón Sobre 130g,S/3.75,0,Universal,Metro
Gelatina en Polvo Sabor a Limón Royal Sobre 160 g,S/3.00,20 %,Royal,Metro
Gelatina en Polvo Sabor a Cereza Royal Sobre 160 g,S/3.00,20 %,Royal,Metro
Gelatina Diet Universal Naranja Caja 19 g,S/3.50,0,Universal,Metro
Gelatina Sabor Limón Diet Universal 19g,S/3.50,0,Universal,Metro
Vinagre Tinto Venturo Botella Plástica 600 ml,S/5.20,0,Venturo,Metro
Tuco Sibarita Pack 6 Unid x 9.30 g,S/4.60,0,Sibarita,Metro
Sazonador Ajinomoto Sobre 250 g,S/6.70,0,Ajinomoto,Metro
Salsa Ají Amarillín Sin Picante Sibarita 93.6g,S/3.68,20 %,Sibarita,Metro
Crema de Ají y Queso AlaCena Huancaína 400g,S/13.90,0,AlaCena,Metro
Crema de Rocoto AlaCena Uchucuta 400g,S/13.90,0,AlaCena,Metro
Pimienta Negra Molida Badia Frasco 2 Onzas,S/9.90,0,Badia,Metro
Mayonesa Kraft Real Mayo 443ml,S/9.90,47 %,Kraft,Metro
Ketchup Heinz Doy Pack 397 g,S/11.90,0,Heinz,Metro
Clavo de Olor Entero Badia Sobre 0.25 Onzas,S/4.19,0,Badia,Metro
Canela Molida Sibarita Sobre 10 g,S/2.30,0,Sibarita,Metro
Ajo en Polvo Badia Pote 3 oz,S/12.90,0,Badia,Metro
Ají Panquita Sibarita Natural Sobre 100 g,S/2.50,0,Sibarita,Metro
Macaroni & Cheese Kraft Original Caja 206 g,S/6.80,0,Kraft,Metro
Papas Ondas Picante Lays 140g,S/4.90,28 %,Frito Lays,Metro
Maní Crocante Picante Karinto 200g,S/5.50,31 %,Karinto,Metro
Chifles Salados Crickets 250g,S/10.30,0,Crickets,Metro
Galletas Salvado con Ajonjolí Bolsa 70 g,S/2.80,0,Fibra Light,Metro
Wafers Nik Costa Fresa Pack 6un,S/. 4.20,0,Costa,Metro
Sixpack Galletas Oreo Cookies and Cream 36g,S/3.84,20 %,Oreo,Metro
Sixpack Galletas Oreo Sabor Vainilla 36g,S/3.84,20 %,Oreo,Metro
Sixpack Galletas Oreo Sabor Chocolate 36g,S/3.84,20 %,Oreo,Metro
Sixpack Galletas Marquesitas Naranja 46g,S/5.80,0,Victoria,Metro
Sixpack Galletas Marquesitas Coco 46g,S/5.80,0,Victoria,Metro
Sixpack Galletas Chomp Naranja 42g,S/5.90,0,Victoria,Metro
Sixpack Galletas Chomp Chocolate 42g,S/5.90,0,Victoria,Metro
Sixpack Galletas Tentación Sabor Naranja 47g,S/4.50,0,Victoria,Metro
Sixpack Galletas Glacitas Chocolate 32g,S/5.00,0,Victoria,Metro
Sixpack Galletas Casino Lúcuma 47g,S/4.80,0,Victoria,Metro
Sixpack Galletas Casino Alfajor 47g,S/4.80,0,Victoria,Metro
Galletas Field Doña Pepa Travesuras 50g,S/1.20,20 %,Field,Metro
Galletas de Agua San Jorge Nubbe Bolsa 110 g,S/2.10,0,San Jorge,Metro
Galletas Vainiya Costa Pack 6 Unid x 32 g,S/3.99,0,Costa,Metro
Pack x6 Galleta Pícaras La Extrema 40g,S/6.20,4 %,Picaras,Metro
Sixpack Wafer Sublime Power 25g,S/6.20,20 %,Sublime,Metro
Wafer Cua Cua Mini Field Bolsa 42 g,S/1.28,20 %,Field,Metro
Galletas Soda San Jorge Paquete 75 g,S/1.60,0,San Jorge,Metro
Beso de Moza Clásico 9un,S/7.90,29 %,Nestlé,Metro
Marshmallow con Cobertura Sabor Chocolate Olé Olé 50un,S/8.50,15 %,Olé Olé,Metro
Pastina Letras y Números Don Vittorio 235g,S/2.30,0,Don Vittorio,Metro
Fussilli de Verduras La Montanara Bolsa 500 g,S/7.55,0,La Montanara,Metro
Pastina Caracol Chico Don Vittorio 235g,S/2.30,0,Don Vittorio,Metro
Pastina Canuto Chico Molitalia Bolsa 250 g,S/2.10,0,Molitalia,Metro
Fideos Linguine Molitalia 450g,S/3.70,5 %,Molitalia,Metro
Fetuccini Extra Huevo La Montanara Bolsa 500 g,S/7.55,0,La Montanara,Metro
Lomito de Atún Real En Aceite de Oliva Tripack de 80 g c/u,S/12.90,0,Real,Metro
Sólido de Caballa Campomar en Aceite Lata 170 gr,S/5.30,0,Campomar,Metro
Cubo Sabor Carne Maggi 8un,S/3.50,22 %,Maggi,Metro
Aceite de Oliva El Olivar Extra Virgen Botella 200 ml,S/14.00,0,El Olivar,Metro
Morón Americano Costeño Bolsa 500 g,S/4.60,0,Costeño,Metro
Frijol Negro Costeño Bolsa 500 g,S/6.80,0,Costeño,Metro
Frijol Red Kidney Costeño Bolsa 500 g,S/6.59,0,Costeño,Metro
Garbanzos Costeño Bolsa 500 g,S/6.00,0,Costeño,Metro
Pallar Costeño Bolsa 500 g,S/6.90,0,Costeño,Metro
Lenteja Tesoro Del Campo Bolsa 500 g,S/5.00,0,Tesoro del Campo,Metro
Aceite Sabor Original Pam Spray 6 Onzas,S/24.00,0,Pam,Metro
Aceite de Oliva Filippo Berio Extra Virgen 1L,S/. 38.92,25 %,Filippo Berio,Metro
Aceite de Oliva El Olivar Extra Virgen 1L,S/46.90,0,El Olivar,Metro
Chicle Trident Sabor Menta 45.5g,S/9.10,0,Trident,Metro
Aceite de Ajonjolí Olivos del Sur 200ml,S/12.90,11 %,Olivos del Sur,Metro
Papas Fritas Lay's Ondas Sabor Queso 140g,S/4.90,28 %,Frito Lays,Metro
Chips Sabor Chocolate Winter 200g,S/9.90,0,Winters,Metro
Fideos Cuisine &Co Spaguetti 450g,S/4.10,0,cuisine---co,Metro
Fideos Cuisine &Co Linguini 950g,S/5.30,1 %,cuisine---co,Metro
Fideos Cuisine &Co Corbata 450g,S/3.70,0,cuisine---co,Metro
Premezcla Blanca Flor Keke Casero Sabor Naranja 750g,S/8.65,0,Blanca Flor,Metro
Arroz Superior Cuisine & Co 5kg,S/. 18.10,0,Cuisine & Co,Metro
Arroz Extra Cuisine & Co 5kg,S/. 18.90,2 %,Cuisine & Co,Metro
Pimienta Negra Entera Cuisine & Co 50g + Molinillo,S/11.60,0,cuisine---co,Metro
Pastina Corbata Grande Don Vittorio 225g,S/2.30,0,don-vittorio,Metro
Pastina Tornillo Don Vittorio 225g,S/2.30,0,don-vittorio,Metro
Dúo Cocktail Nueces 150g + Mix Clásico 150g Villa Natura,S/17.10,0,villa-natura,Metro
Dúo Cocktail Nueces sin Sal 150g + Mixtura 150g Villa Natura,S/17.10,0,villa-natura,Metro
Sixpack Filete de Atún en Aceite Cuisine & Co 170g,S/35.40,0,Cuisine & Co,Metro
Sixpack Trozos de Atún en Aceite Cuisine & Co 170g,S/32.40,0,Cuisine & Co,Metro
Tripack Menestras Cuisine & Co 500g: Arveja + Lentejón + Quinua,S/15.90,14 %,Cuisine & Co,Metro
Tripack Trozos de Atún en Aceite Cuisine & Co 170g,S/16.20,0,Cuisine & Co,Metro
Sixpack Filete de Atún en Agua Cuisine & Co 170g,S/35.40,0,Cuisine & Co,Metro
Tripack Menestras Máxima 500g: Arveja Partida + Lentejón + Quinua,S/13.90,12 %,Máxima,Metro
Tostitos Redondos Sal 280g,S/8.50,29 %,Frito Lays,Metro
Pack x9 Galleta Honey Bran Field,S/5.84,20 %,Field,Metro
Pack x6 Sólido Caballa Aceite Vegetal Campomar 170g,S/29.90,0,Campomar,Metro
Bizcocho Mini 20un Chocman Costa 21g,S/11.90,0,Costa,Metro
Papas Lays Clásicas 36g,S/2.60,0,Frito Lays,Metro
Ají Pollero 75g,S/4.50,0,Casa Verde,Metro
Conserva de Maíz Dulce en Agua Cuisine & Co 241g,S/4.90,16 %,Cuisine & Co,Metro
Mayonesa Alpesa 350g,S/7.60,0,Alpesa,Metro
Mostaza Alpesa 190g,S/3.60,0,Alpesa,Metro
Galleta Oreo Pack Familiar 324g,S/5.60,20 %,Oreo,Metro
Galleta Ritz Family Sharing 175.8g,S/3.84,20 %,Ritz,Metro
Maíz Frito en Hojuelas Tortees Clásico 71g,S/2.70,0,Frito Lays,Metro
Tortillas de Maíz Doritos Queso Fuego 190g,S/6.50,30 %,Frito Lays,Metro
Arroz Añejo Superior Valle Norte 5kg,S/. 21.90,0,Valle Norte,Metro
Pasta de Tomate B & D 200g,S/4.20,0,B&D,Metro
Pasta de Tomate B & D 100g,S/2.20,0,B&D,Metro
Palitos Sabor a Queso Cheese Tris 140g,S/5.10,0,Frito Lays,Metro
Aceite de Coco Orgánico Cuisine & Co 350ml,S/25.99,0,Cuisine & Co,Metro
Ajo en Pasta Cuisine & Co 200g,S/5.90,14 %,Cuisine & Co,Metro
Palillo Molillo Cuisine & Co 15g,S/1.80,0,Cuisine & Co,Metro
Páprika en Polvo Cuisine & Co 15g,S/2.20,0,Cuisine & Co,Metro
Hongo Seco Cuisine & Co 10g,S/2.90,0,Cuisine & Co,Metro
Orégano Entero Cuisine & Co 8g,S/2.10,0,Cuisine & Co,Metro
Pack x6 Bizcocho Relleno Caritas 28g,S/. 4.00,0,Costa,Metro
Mayonesa Blanca Alpesa 400g,S/7.99,0,AlaCena,Metro
Vinagre Tinto Cuisine & Co 500ml,S/2.99,0,Cuisine & Co,Metro
Berry Crunch Original Vallealto 250g,S/8.20,18 %,Vallealto,Metro
Pimienta Negra Molida Cuisine & Co Frasco 60g,S/9.30,0,Cuisine & Co,Metro
Sal de Maras para Cocina Cuisine & Co 500g,S/10.50,0,Cuisine & Co,Metro
Salsa Blanca Completa Don Vittorio 390g,S/9.30,0,Don Vittorio,Metro
Gelatina Umsha Sabor Naranja 120g,S/3.50,0,Umsha,Metro
Pudín Umsha Sabor Chocolate 100g,S/2.50,0,Umsha,Metro
Chuño Umsha 180g,S/3.50,0,Umsha,Metro
Salsa de Mostaza Walibí 1kg,S/10.90,0,Walibi,Metro
Ajo en Polvo Toña 50g,S/9.99,0,Toña,Metro
Pimienta Negra Molida Toña 18g,S/3.60,0,Toña,Metro
Hongos Secos con Laurel Toña 13g,S/3.40,0,Toña,Metro
Ajo en Pasta Envasado 550 g,S/19.80,0,Sibarita,Metro
Tuco Sobre 32.4 g,S/1.25,0,Sibarita,Metro
Sazonador Sobre Gigante 32.4 g,S/1.05,0,Sibarita,Metro
Kétchup Doypack 190 g,S/5.80,0,Heinz,Metro
Garbanzos Bolsa 500 g,S/7.40,0,Valle Norte,Metro
Lentejón Bolsa 350 g,S/4.10,0,Tesoro del Campo,Metro
Papas al Hilo Cusine & Co 142g,S/5.90,10 %,Cuisine & Co,Metro
Hojuelas de Camote Tiyapuy Bolsa 160 g,S/5.99,0,Tiyapuy,Metro
Mayonesa Light Hellmann's Frasco 154 oz,S/13.60,30 %,Hellmann's,Metro
Caramelos Duros de Eucalipto y Mentol / Extra Fuerte Barra 25 g Pack 4 unid,S/4.72,20 %,Halls,Metro
Chocolate Bitter con Maní Sublime Tableta 40 g Caja 8 unid,S/15.50,22 %,Sublime,Metro
Chocolate con Leche con Maní Sublime Sonrisa Tableta 40 g Caja 8 unid,S/14.90,19 %,Sublime,Metro
Aceite de Oliva Cuisine & Co 250ml,S/11.60,20 %,Cuisine & Co,Metro
Chicle Sin Azúcar Sabor Yerbabuena Trident Caja 18 unid,S/2.88,20 %,Trident,Metro
Chicle Sin Azúcar Sabor Menta Trident Caja 18 unid,S/2.88,20 %,Trident,Metro
Palmitos en Rodajas Cuisine & Co Lata 400 g,S/6.90,0,Cuisine & Co,Metro
Pepinillos Encurtidos Cuisine & Co Pote 510 g,S/8.90,0,Cuisine & Co,Metro
Mix Andino Bolsa 100 g,S/5.10,0,Cuisine & Co,Metro
Semillas de Girasol Cuisine&Co Pote 200 g,S/7.30,0,Cuisine & Co,Metro
Mix de Nueces y Frutas Cuisine&Co Pote 200 g,S/11.20,0,Cuisine & Co,Metro
Cancha Chulpi Salada Cuisine & Co Bolsa 100 g,S/2.80,0,Cuisine & Co,Metro
Tortillas de Maíz Clásica Cuisine & Co Bolsa 150 g,S/4.20,0,Cuisine & Co,Metro
Chifles Norteños Cuisine & Co Pote 100 g,S/5.28,20 %,Cuisine & Co,Metro
Canchita con Chifles Cuisine & Co Pote 180 g,S/6.08,20 %,Cuisine & Co,Metro
Chocolate con Leche sin Azúcar 40% Cacao Milky La Ibérica Barra 20 g Bolsa 10 unid,S/30.50,0,La Ibérica,Metro
Frutos de Secos Cocktail Premium Villa Natura 250g,S/18.70,0,Villa Natura,Metro
Sólido de Atún en Aceite Vegetal Cuisine & Co 170g,S/5.12,20 %,Cuisine & Co,Metro
Trozos de Atún en Aceite Nicolini 140g,S/6.20,0,Nicolini,Metro
Gelatina sin Sabor para Repostería Universal Sobre 7.5 g Caja 4 unid,S/5.30,0,Universal,Metro
Polvo de Hornear Universal Sobre 25 g Caja 4 unid,S/5.80,0,Universal,Metro
Papas Fritas Amarillas Tiyapuy Bolsa 160 g,S/. 7.50,0,Tiyapuy,Metro
Harina de Coco Doypack 150 g,S/8.20,0,Marimiel,Metro
Papas Fritas Onduladas Sabor Finas Hierbas y Lima Inka Chips Bolsa 115 g,S/8.10,0,Inka Chips,Metro
Premium Cocktail Sin Maní Original Vallealto 250g,S/14.50,18 %,Vallealto,Metro
Salsa Verde Peruana Casa Verde 330g,S/13.20,0,Casa Verde,Metro
Nueces Peladas Cuisine & Co Bolsa 100 gr,S/9.90,0,Cuisine & Co,Metro
Salsa Tuco Cuisine & Co Doypack 380 g,S/4.56,20 %,Cuisine & Co,Metro
Mostaza Cuisine & Co 200g,S/3.60,20 %,Cuisine & Co,Metro
Cobertura Sabor a Chocolate Bitter Negusa Caja 600 g,S/16.60,0,Negusa,Metro
Arroz Extra Natural Gran Chalan Bolsa 750 gr,S/. 4.30,0,Gran Chalan,Metro
Arroz Superior Natural Gran Chalan Bolsa 5 kg,S/. 21.60,0,Gran Chalan,Metro
Harina Sin Preparar Grano de Oro Paquete 1 kg,S/6.35,0,Grano de Oro,Metro
Harina Preparada Grano de Oro Paquete 1 kg,S/6.95,0,Grano de Oro,Metro
Gomitas Frutales Mogul 35g,S/1.40,0,Arcor,Metro
Huevito de Pascua con Praliné Jacquot 250g,S/5.90,77 %,Jacquot,Metro
Aceite de Oliva Extra Virgen Cuisine & Co 500ml,S/21.52,20 %,Cuisine & Co,Metro
Chizitos Sabor Queso 190g,S/6.60,0,Frito Lays,Metro
Palillo Sibarita 57g,S/2.25,0,Sibarita,Metro
Chocolate con Leche Confitado Chin Chin 50g,S/4.30,0,Chin Chin,Metro
Crema de Leche Nestlé Lata 160 g,S/7.90,0,Nestlé,Metro
Tallarin Instantáneo Saltado Ajinomen Sobre 100 g,S/2.15,0,Ajinomen,Metro
Sopa Instantánea Sabor a Carne Ajinomen Vaso 51 g,S/3.40,0,Ajinomen,Metro
Sopa Instantánea Ajinomen Sabor Pollo 51g,S/3.40,0,Ajinomen,Metro
Papas Fritas Onduladas Saladas Cuisine & Co Bolsa 150 gr,S/6.90,12 %,Cuisine & Co,Metro
Chifles Corte Delgado Cuisine & Co Bolsa 200 gr,S/7.50,21 %,Cuisine & Co,Metro
Aceite de Canola Cuisine & Co Botella 1 lt,S/14.00,0,Cuisine & Co,Metro
Cheetos Mega Queso Frito Lay 200g,S/8.30,0,Frito Lays,Metro
Chupete Globo Pop Fresa Bolsa 24 Undiades,S/7.70,0,Globo Pop,Metro
Piqueo Snax Original Frito Lay 260g,S/8.50,22 %,Frito Lays,Metro
Frijol Red Kidney Cuisine & Co Bolsa 500 gr,S/6.10,0,Cuisine & Co,Metro
Bombones con Pisco y Pasas Di Perugia Licorinas 144g,S/18.50,0,Di Perugia,Metro
Piqueo Snax Original Frito Lay 200g,S/6.80,30 %,Frito Lays,Metro
Lentejón Cuisine & Co 500g,S/4.48,20 %,Cuisine & Co,Metro
Aceite de Oliva Sabor Suave Botella 200 ml,S/13.30,0,El Olivar,Metro
Crema De Espárragos Metro Contenido 70 g,S/3.80,0,Metro,Metro
Arroz Superior Metro 750g,S/. 3.40,0,Metro,Metro
Duraznos en Almíbar Cuisine & Co Lata 820 gr,S/8.72,20 %,Cuisine & Co,Metro
Filete de Atún en Aceite Girasol y Sal Florida 140g,S/6.00,13 %,Florida,Metro
Salsa Huancaína Nicolini 390g,S/13.10,0,Nicolini,Metro
Maní Oriental Granuts 180g,S/6.60,0,Granuts,Metro
Bombones de Chocolate Sublime 136g,S/10.50,19 %,Sublime,Metro
Barquillos Morochas 280g,S/16.10,0,Nestle,Metro
Galletas de Arroz Dulce Sin Gluten Costeño Doypack 150 g,S/6.79,0,Costeño,Metro
Manjar Blanco Bonlé Contenido 500 g,S/9.90,5 %,Bonlé,Metro
Papas al Hilo Villa Natura 500g,S/19.20,0,Villa Natura,Metro
Arroz Tazón Norteño Superior Bolsa 5 kg,S/. 19.50,0,Tazon Norteño,Metro
Vinagre Tinto Del Firme Doy Pack 1000 ml,S/4.80,0,Del Firme,Metro
Sixpack Galletas Pícaras La Chips 40g,S/5.60,0,Picaras,Metro
Aceite Oliva Extra Virgen Huerto Alamein 1L,S/43.90,0,Huerto Alamein,Metro
Papas Pringles Crema y Cebolla 124g,S/9.90,0,Pringles,Metro
Mix de Frutos Secos con Arándanos Granuts 50g,S/3.70,0,Granuts,Metro
Maíz Pop Corn Máxima 500g,S/4.30,0,Máxima,Metro
Lentejón Máxima 500g,S/4.90,0,Máxima,Metro
Sixpack Galletas Victoria Choco Bum 33.5g,S/4.80,0,Victoria,Metro
Lomito de Atún en Aceite Vegetal Florida 140g,S/7.50,0,Florida,Metro
Arveja Paisana Bolsa 500 g,S/3.99,0,Paisana,Metro
Frijol Canario Paisana Bolsa 500 g,S/9.29,0,Paisana,Metro
Chocolate con Leche y Almendras Hershey's Kisses 74g,S/11.00,14 %,Hershey's,Metro
Cashews Vallealto 90g,S/9.90,16 %,Vallealto,Metro
Pecanas Peladas Vallealto 90g,S/13.40,0,Vallealto,Metro
Mezcla Blanca Flor Panqueque Casero 720g,S/9.70,0,Blanca Flor,Metro
Chicle sin Azúcar Sabor Hierbabuena y Sandía Trident Splash 9un,S/2.56,20 %,Trident,Metro
Aceite Ajonjoli Olivos Del Sur 100 ml,S/11.10,0,Olivos del Sur,Metro
Canela Molida Badía Frasco 56.7 g,S/9.20,0,Badia,Metro
Fideos Farfalle Cuisine & Co 500g,S/3.50,12 %,Cuisine & Co,Metro
Linguine Nro 77 Cuisine & Co Bolsa 500 gr,S/4.60,0,Cuisine & Co,Metro
Galletas Danesas Castillos Famosos 340g,S/. 11.83,30 %,Ripensa,Metro
Filete de Atún Real 140g,S/6.10,6 %,Real,Metro
Mix de Frutos Secos con Arándanos Granuts 180g,S/10.80,0,Granuts,Metro
Mix de Nueces Granuts 160g,S/11.90,0,Granuts,Metro
Arroz Integral Paisana Bolsa 1 kg,S/. 6.15,0,Paisana,Metro
Trifruna Chicha Manza Piña Ambrosoli Contenido 420 g,S/9.90,0,Ambrosoli,Metro
Caramelos Ambrosoli Cocoroko Perita Ambrosoli Bolsa 350 g,S/7.70,0,Ambrosoli,Metro
Pack x4 Crema con Grageas Chin Chin Mix 80g,S/6.50,0,Chin Chin,Metro
Ablanda Sazón Aji no Mix 4un,S/2.80,12 %,Ajinomoto,Metro
Mostaza Heinz Doy Pack 368 g,S/11.50,0,Heinz,Metro
Pimienta Negra Molida Sibarita 40g,S/9.90,0,Sibarita,Metro
Sillau Lam Botella 500 ml,S/3.80,0,Lam,Metro
Manjarblanco Bazo Velarde 500g,S/10.45,0,Bazo Velarde,Metro
Azúcar Impalpable Fleischmann Bolsa 200 g,S/2.60,0,Fleischmann,Metro
Polvo de Hornear Fleischmann Sobre 20 g,S/1.20,0,Fleischmann,Metro
Colapiz en Polvo Universal Sobre 20 g,S/2.65,0,Universal,Metro
Grageas Confitadas Lentejas Caja 30 g,S/1.70,0,Nestlé,Metro
Chocolate con Leche Triángulo Barra 30 g,S/1.80,0,Triángulo,Metro
Cubito Sabor Carne Maggi 25un.,S/5.60,0,Maggi,Metro
Chocolate Bitter Vizzio Costa 69g,S/4.99,0,Costa,Metro
Chicle sin Azúcar Tutti Frutti Trident 18un,S/2.88,20 %,Trident,Metro
Chicle sin Azúcar Herbal Trident Fresh 18un,S/2.88,20 %,Trident,Metro
Chicle sin Azúcar de Sandía Trident 18un,S/2.88,20 %,Trident,Metro
Orégano Molido Sibarita 50g,S/4.49,0,Sibarita,Metro
"King Kong de Manjarblanco, Piña y Maní Caja 450 g",S/22.90,17 %,San Roque,Metro
Chocolate de Leche con Avellanas Mauxion Salut 100g,S/. 5.90,0,Mauxion,Metro
Fudge Heladero Bazo Velarde 200g,S/4.75,0,Bazo Velarde,Metro
Chocolate con Leche Confitado Mini Chin Chin 32un,S/14.90,0,Chin Chin,Metro
Harina de Trigo Integral Doypack 1 kg,S/12.90,0,Marimiel,Metro
Pasas Morenas Vallealto 150g,S/5.00,0,Vallealto,Metro
Pudín Sabor Chocolate Diet Universal 19g,S/3.90,0,Universal,Metro
Mazamorra Diet Universal Morada Caja 150 g,S/3.50,0,Universal,Metro
Mazamorra de Durazno Universal Bolsa 150 g,S/3.50,0,Universal,Metro
Flan Diet Universal de Vainilla Caja 19 g,S/3.80,0,Universal,Metro
Gelatina Diet Universal con Stevia Piña Caja 19g,S/4.90,0,Universal,Metro
Gelatina Diet Universal con Stevia Fresa Caja 19 g,S/4.90,0,Universal,Metro
Mezcla para Apanar Maggi Apanado 80g,S/3.50,0,Maggi,Metro
Vinagre Tinto Florida Botella Plástica 625 ml,S/3.40,0,Florida,Metro
Vinagre de Manzana Perú Pride Botella 500 ml,S/13.50,0,Perú Pride,Metro
Vinagre Balsámico Filippo Berio Botella 250 ml,S/. 11.18,24 %,Filippo Berio,Metro
Super Sazonador Ajinomoto Frasco 100 g,S/8.99,0,Ajinomoto,Metro
Sillau Kikko Botella 500 ml,S/4.60,0,Kikko,Metro
Sazonador Sibarita Frasco 80 g,S/5.30,0,Sibarita,Metro
Sazonador Sazón Completa Badia Frasco 3.5 Onzas,S/9.50,0,Badia,Metro
Salsa Ostión Alida Chiang Botella 60 ml,S/9.10,0,Alida Chiang,Metro
Crema de Ají y Queso AlaCena Huancaína 85g,S/4.80,0,AlaCena,Metro
Pimienta Negra Entera Sibarita Sobre 15 g,S/2.90,0,Sibarita,Metro
Pimienta Negra Entera Badia Frasco con Moledor 2.25 Onzas,S/13.90,0,Badia,Metro
Paprika Badia Sobre 1 Onza,S/4.19,0,Badia,Metro
Hongos con Laurel Sibarita Sobre 10 g,S/2.50,0,Sibarita,Metro
Culantro Verdecito Sibarita Pack 6 Unid,S/4.29,0,Sibarita,Metro
Crema de Ají Tarí AlaCena Doypack 85 g,S/4.80,0,AlaCena,Metro
Crema de Ají AlaCena Tarí 400g,S/13.90,0,AlaCena,Metro
Canela Molida Badia Sobre 0.5 Onzas,S/4.19,0,Badia,Metro
Ajos en Pasta Sibarita Pack 3 Unid x 24 g,S/3.20,0,Sibarita,Metro
Tortillas Chip Mexi Nachos Bolsa 100 g,S/4.70,0,Mexi Nachos,Metro
Pop Corn Natural Act II Bolsa 80 g,S/4.60,0,Act II,Metro
Pop Corn Butter Act II Pack 3 Unid,S/14.70,0,Act II,Metro
Papas en Hojuelas Lay's Ondas Clásica 140g,S/4.90,28 %,Frito Lays,Metro
Maní Crocante Salado Karinto 200g,S/5.50,31 %,Karinto,Metro
Habas Saladas Karinto Bolsa 70 gr,S/4.30,0,Karinto,Metro
Chifles Norteños Milys 160g,S/7.50,0,Milys,Metro
Hojuelas de Camote Natuchips 135g,S/6.50,0,Natu Chips,Metro
Galletas Integrackers Integrackers Salvado de Trigo 30g 9un,S/10.00,0,Victoria,Metro
Sixpack Galletas Tentación Sabor Vainilla 47g,S/4.70,0,Victoria,Metro
Sixpack Galletas Tentación Sabor Coco 47g,S/4.70,0,Victoria,Metro
Sixpack Galletas Glacitas Choconieve 32g,S/5.00,0,Victoria,Metro
Sixpack Galletas Glacitas Fresa 32g,S/5.00,0,Victoria,Metro
Sixpack Galletas Casino Vainilla 47g,S/4.80,0,Victoria,Metro
Sixpack Galletas Casino Chocolate 47g,S/4.60,0,Victoria,Metro
Galletas Naturales Nutri Deli Algarrobina 50g,S/2.99,0,Nutri Deli,Metro
Galletas con Chispas de Chocolate Mini Chips Ahoy Bolsa 50 g,S/1.44,20 %,Chips Ahoy,Metro
Sixpack Galleta Costa Gran Cereal Clásica 36g,S/4.30,0,Costa,Metro
Sixpack Galletas Caritas 189g,S/4.10,0,Costa,Metro
Chocolate Relleno con Toffe Helena Peccanroll Caja 100 g,S/12.50,25 %,Helena,Metro
Pastillas de Chocolate La Ibérica 150g,S/14.80,20 %,La Ibérica,Metro
Chocolate Mini Barritas Milky La Ibérica 10un,S/21.20,0,La Ibérica,Metro
Bombones La Ibérica Cremas Surtidas 150g,S/18.70,0,La Ibérica,Metro
Marshmellows Ambrosoli Mellows Bolsa 230 g,S/5.40,0,Ambrosoli,Metro
Gomitas Ambrosoli Frugel 430g,S/14.90,0,Ambrosoli,Metro
Caramelos Ambrosoli Cocoroko Limon Bolsa 350 g,S/7.70,0,Ambrosoli,Metro
Pastina Codo Chico Don Vittorio 235g,S/2.30,0,Don Vittorio,Metro
